created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T15:56:42+00:00,584,27.0,74.2,,,,
2024-04-12T15:57:14+00:00,585,26.9,74.2,,,,
2024-04-12T15:57:30+00:00,586,26.9,74.2,,,,
2024-04-12T15:57:54+00:00,587,27.0,74.3,,,,
2024-04-12T15:58:10+00:00,588,26.9,74.2,,,,
2024-04-12T15:58:38+00:00,589,27.0,74.1,,,,
2024-04-12T15:58:57+00:00,590,26.9,74.4,,,,
2024-04-12T15:59:24+00:00,591,27.0,74.4,,,,
2024-04-12T15:59:41+00:00,592,26.9,74.7,,,,
2024-04-12T16:00:25+00:00,593,26.9,74.5,,,,
2024-04-12T16:01:02+00:00,594,26.9,74.5,,,,
2024-04-12T16:01:34+00:00,595,26.9,74.4,,,,
2024-04-12T16:02:04+00:00,596,26.9,74.6,,,,
2024-04-12T16:02:31+00:00,597,26.8,74.6,,,,
2024-04-12T16:02:47+00:00,598,26.9,74.8,,,,
2024-04-12T16:03:02+00:00,599,26.9,74.6,,,,
2024-04-12T16:03:22+00:00,600,26.9,74.5,,,,
2024-04-12T16:03:41+00:00,601,26.8,74.7,,,,
2024-04-12T16:04:11+00:00,602,26.9,74.7,,,,
2024-04-12T16:04:45+00:00,603,27.0,74.6,,,,
2024-04-12T16:05:03+00:00,604,26.8,74.5,,,,
2024-04-12T16:05:32+00:00,605,26.9,74.6,,,,
2024-04-12T16:05:48+00:00,606,26.9,74.5,,,,
2024-04-12T16:06:16+00:00,607,26.8,74.4,,,,
2024-04-12T16:06:45+00:00,608,26.8,74.7,,,,
2024-04-12T16:07:04+00:00,609,26.8,74.4,,,,
2024-04-12T16:07:25+00:00,610,26.9,74.7,,,,
2024-04-12T16:07:42+00:00,611,26.9,74.8,,,,
2024-04-12T16:08:07+00:00,612,26.8,74.5,,,,
2024-04-12T16:08:36+00:00,613,26.8,74.5,,,,
2024-04-12T16:09:12+00:00,614,26.8,74.8,,,,
2024-04-12T16:09:43+00:00,615,26.8,74.6,,,,
2024-04-12T16:10:14+00:00,616,26.9,74.3,,,,
2024-04-12T16:10:39+00:00,617,26.9,74.5,,,,
2024-04-12T16:10:58+00:00,618,26.8,74.7,,,,
